S;1001
I;축복받은 조각;8;icon_item_Gem_Elemental1
I;여신의 축복석;2;icon_item_transcendence_Stone
C;605349870567968
I;블루 젬;Lv7;item_icon_Square150
I;레드 젬;Lv7;item_icon_circle150
I;블루 젬;Lv7;item_icon_Square150
I;화이트 젬;Lv7;item_icon_twentyside150
I;레드 젬;Lv7;item_icon_circle150
I;블루 젬;Lv7;item_icon_Square150
I;레드 젬;Lv7;item_icon_circle150
I;레드 젬;Lv7;item_icon_circle150
I;블루 젬;Lv7;item_icon_Square150
I;레드 젬;Lv7;item_icon_circle150
I;그린 젬;Lv6;item_icon_Dia150
I;옐로우 젬;Lv6;item_icon_Star150
I;옐로우 젬;Lv6;item_icon_Star150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;옐로우 젬;Lv6;item_icon_Star150
I;그린 젬;Lv6;item_icon_Dia150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;옐로우 젬;Lv6;item_icon_Star150
I;옐로우 젬;Lv6;item_icon_Star150
I;그린 젬;Lv6;item_icon_Dia150
I;레드 젬;Lv6;item_icon_circle150
I;블루 젬;Lv6;item_icon_Square150
I;그린 젬;Lv6;item_icon_Dia150
I;그린 젬;Lv6;item_icon_Dia150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;블루 젬;Lv6;item_icon_Square150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;블루 젬;Lv6;item_icon_Square150
I;그린 젬;Lv6;item_icon_Dia150
I;블루 젬;Lv6;item_icon_Square150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;옐로우 젬;Lv6;item_icon_Star150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;블루 젬;Lv6;item_icon_Square150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;레드 젬;Lv6;item_icon_circle150
I;블루 젬;Lv6;item_icon_Square150
I;레드 젬;Lv6;item_icon_circle150
I;옐로우 젬;Lv6;item_icon_Star150
I;레드 젬;Lv6;item_icon_circle150
I;빛나는 8성 젬 연마제;1;icon_item_powderp
C;525751241671427
I;클라로의 젬;Lv1;gem_mon_claro
I;(바랜)이글스타 레더 부츠;1;icon_item_eaglestar_boots
I;(바랜)이스턴 레더 글로브;1;icon_item_eastengarden_gloves
I;턴 레더 글로브;1;icon_item_gloves_gairas_gray
I;슈페리어 로얄 가드 건틀릿;1;icon_item_gloves_royalGuard
I;그리나스 건틀릿;1;icon_item_gloves_royalGuard
I;그리나스 그리브;1;icon_item_boots_royalGuard
I;아르데 대거;1;icon_item_main-gauche
I;레드 베리스 글로브;1;icon_item_gloves_bube
I;레드 베리스 글로브;1;icon_item_gloves_bube
I;로카스 로브;1;icon_item_shirts_necromancer
I;록소나 플레이트 부츠;1;icon_item_boots_SRchain
I;쉐이드 핸즈;1;icon_item_gloves_revenant
I;슈페리어 인펀트리 건틀릿;1;icon_item_gloves_SR
I;파이브 해머;1;mace_blacksmith
I;케이스타스 회복포션Lv4;109;item_HPSP_potion_3
I;파이브 해머;1;mace_blacksmith
I;파이어 로드;1;icon_item_Staff_2
I;포레스트 레더 글로브;1;icon_item_gloves_forest
I;(바랜)워메이지 부츠;1;icon_item_warmage_boots
I;포레스트 레더 글로브;1;icon_item_gloves_forest
I;플레이트 그리브;1;icon_item_boots_CE
I;보급용 농축 HP포션 LV15;192;item_HP_oil_3
I;보급용 농축 SP포션 LV15;179;item_SP_requid_3
C;515490564800654
I;사막 츄파카브라의 젬;Lv1;gem_mon_chupacabra_desert
I;시커;1;bow_recurve_bow
I;호크 보우;1;bow_sniper_bow
C;505474701068687
I;프리머스 라파이 로드;1;icon_item_rod_lapai
I;하트 오브 글로리;1;icon_item_staff_regardhorn
I;프리머스 미간티스 스태프;1;icon_item_miegantis_staff
I;와이드 크로스보우;1;crossbow_oak_crossbow
I;케이스타스 회복포션Lv4;134;item_HPSP_potion_3
I;보급용 작은 SP포션;167;item_SP_requid_1
I;제작서-베리스 글로브;1;icon_item_gloves_misc1
I;제작서-호크 보우;1;icon_item_weapon_misc3
I;아바레스트;1;icon_item_arbalest
I;오크 크로스보우;1;icon_item_oak_crossbow
I;크리스탈 로드;1;icon_item_crystal_staff
I;폴쳔;1;icon_item_Sword_23
I;포레스트 레더 아머;1;icon_item_shirts_forest
I;파이크;1;warrior_f_spear_pike
C;577230719684513
I;(바랜)알비노사스 레더 글로브;1;icon_item_gloves_albinosas
I;(바랜)알비노사스 레더 부츠;1;icon_item_boots_albinosas
I;(바랜)알비노사스 레더 아머;1;icon_item_shirts_albinosas
I;(바랜)알비노사스 레더 팬츠;1;icon_item_pants_albinosas
I;(바랜)이글스타 레더 글로브;1;icon_item_eaglestar_gloves
I;(바랜)이글스타 레더 부츠;1;icon_item_eaglestar_boots
I;(바랜)이글스타 레더 아머;1;icon_item_eaglestar_armor
I;(바랜)이글스타 레더 팬츠;1;icon_item_eaglestar_pants
I;(바랜)타이타나스 플레이트 아머;1;icon_item_shirts_titanas
I;HP 회복의 엘릭서 [이벤트];10;icon_item_HPelixir
I;SP 회복의 엘릭서 [이벤트];10;icon_item_SPelixir
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;그린 젬;Lv1;item_icon_Dia150
I;디델 타워 실드;1;icon_item_shield_fedimiantower
I;레다스 실드;1;beadshield_blue
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;레드 젬;Lv1;item_icon_circle150
I;베르타스 라파이 파이크;1;icon_item_spear_twohand_lapai
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
I;블루 젬;Lv1;item_icon_Square150
